2025-10-25 09:46:17 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 09:46:17 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: SAM model loading failed: 'sam2.1_large'
2025-10-25 09:46:17 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 09:52:32 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 09:52:32 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 09:58:17 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 09:58:17 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:02:16 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:02:16 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:03:18 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:03:18 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:10:13 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:10:13 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:17:58 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:17:58 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:19:20 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:19:20 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:32:09 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:32:09 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 10:33:41 | ERROR | src.models.sam_wrapper:_load_model:93 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
2025-10-25 10:33:41 | ERROR | src.models.sam_wrapper:_load_pytorch_model:110 | Failed to load SAM PyTorch model: 'sam2.1_large'
2025-10-25 12:07:36 | ERROR | src.models.sam_wrapper:_load_model:97 | Failed to load model: Error parsing message with type 'CoreML.Specification.Model'
